tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
439,     553,  1392,    0  ,  1688, 0.68   ,  1484
443,     553,  1392,    0  ,  1688, 0.68   ,  1484
447,     553,  1393,    0  ,  1688, 0.67   ,  1485
451,     553,  1393,    0  ,  1688, 0.67   ,  1485
455,     553,  1393,    0  ,  1688, 0.66   ,  1485
459,     553,  1393,    0  ,  1688, 0.66   ,  1484
463,     553,  1393,    0  ,  1688, 0.66   ,  1484
467,     553,  1392,    0  ,  1688, 0.65   ,  1484
471,     552,  1394,    0  ,  1688, 0.65   ,  1486
475,     552,  1394,    0  ,  1688, 0.64   ,  1485
479,     552,  1394,    0  ,  1688, 0.64   ,  1485
483,     551,  1394,    0  ,  1688, 0.64   ,  1486
487,     551,  1394,    0  ,  1688, 0.63   ,  1486
491,     551,  1394,    0  ,  1688, 0.63   ,  1486
495,     551,  1394,    0  ,  1688, 0.63   ,  1486
499,     551,  1394,    0  ,  1688, 0.62   ,  1486
503,     551,  1394,    0  ,  1688, 0.62   ,  1486
507,     551,  1394,    0  ,  1688, 0.62   ,  1486
511,     551,  1394,    0  ,  1688, 0.61   ,  1486
515,     551,  1394,    0  ,  1688, 0.61   ,  1486
519,     551,  1394,    0  ,  1688, 0.60   ,  1486
523,     551,  1394,    0  ,  1688, 0.60   ,  1486
527,     551,  1394,    0  ,  1688, 0.60   ,  1486
531,     551,  1394,    0  ,  1688, 0.59   ,  1486
535,     551,  1394,    0  ,  1688, 0.59   ,  1486
539,     551,  1394,    0  ,  1688, 0.59   ,  1486
543,     551,  1394,    0  ,  1688, 0.58   ,  1486
547,     551,  1394,    0  ,  1688, 0.58   ,  1486
551,     551,  1394,    0  ,  1688, 0.58   ,  1486
555,     551,  1394,    0  ,  1688, 0.57   ,  1486
559,     551,  1394,    0  ,  1688, 0.57   ,  1486
563,     551,  1394,    0  ,  1688, 0.57   ,  1486
567,     551,  1394,    0  ,  1688, 0.57   ,  1486
571,     551,  1394,    0  ,  1688, 0.56   ,  1486
575,     551,  1394,    0  ,  1688, 0.56   ,  1486
579,     552,  1394,    0  ,  1688, 0.56   ,  1485
583,     553,  1393,    0  ,  1688, 0.55   ,  1485
587,     553,  1393,    0  ,  1688, 0.55   ,  1485
591,     553,  1393,    0  ,  1688, 0.55   ,  1485
595,     553,  1393,    0  ,  1688, 0.55   ,  1485
599,     553,  1393,    0  ,  1688, 0.54   ,  1485
603,     553,  1393,    0  ,  1688, 0.54   ,  1485
tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,     603,  1355,    0  ,  1688, 1.28   ,  1434
4,     586,  1370,    0  ,  1688, 9.22   ,  1452
8,     586,  1370,    0  ,  1688, 4.00   ,  1452
12,     586,  1370,    0  ,  1688, 0.95   ,  1451
16,     586,  1370,    0  ,  1688, 9.04   ,  1459
20,     578,  1378,    0  ,  1688, 8.46   ,  1460
24,     569,  1387,    0  ,  1688, 7.45   ,  1470
28,     565,  1390,    0  ,  1688, 6.61   ,  1472
32,     565,  1390,    0  ,  1688, 5.93   ,  1472
36,     565,  1391,    0  ,  1688, 5.39   ,  1473
40,     564,  1391,    0  ,  1688, 4.93   ,  1474
44,     563,  1392,    0  ,  1688, 4.54   ,  1474
48,     563,  1392,    0  ,  1688, 4.22   ,  1475
52,     563,  1393,    0  ,  1688, 3.95   ,  1475
56,     562,  1393,    0  ,  1688, 3.72   ,  1475
60,     562,  1393,    0  ,  1688, 3.51   ,  1475
64,     562,  1393,    0  ,  1688, 3.32   ,  1475
68,     562,  1393,    0  ,  1688, 3.15   ,  1475
72,     563,  1393,    0  ,  1688, 3.00   ,  1475
76,     563,  1393,    0  ,  1688, 2.87   ,  1475
80,     563,  1393,    0  ,  1688, 2.75   ,  1475
84,     561,  1394,    0  ,  1688, 2.64   ,  1476
88,     561,  1394,    0  ,  1688, 2.54   ,  1477
92,     561,  1395,    0  ,  1688, 2.45   ,  1478
96,     560,  1396,    0  ,  1688, 2.36   ,  1478
100,     560,  1396,    0  ,  1688, 2.29   ,  1479
105,     559,  1397,    0  ,  1688, 2.21   ,  1478
109,     559,  1396,    0  ,  1688, 2.14   ,  1478
113,     559,  1396,    0  ,  1688, 2.07   ,  1477
117,     560,  1396,    0  ,  1688, 2.01   ,  1477
121,     560,  1395,    0  ,  1688, 1.95   ,  1476
125,     561,  1395,    0  ,  1688, 1.90   ,  1476
129,     561,  1395,    0  ,  1688, 1.85   ,  1476
133,     561,  1395,    0  ,  1688, 1.80   ,  1476
137,     561,  1395,    0  ,  1688, 1.76   ,  1476
141,     561,  1394,    0  ,  1688, 1.72   ,  1476
145,     561,  1395,    0  ,  1688, 1.68   ,  1476
149,     561,  1395,    0  ,  1688, 1.64   ,  1476
153,     561,  1395,    0  ,  1688, 1.60   ,  1477
157,     560,  1395,    0  ,  1688, 1.57   ,  1477
161,     545,  1411,    0  ,  1688, 1.54   ,  1492
165,     545,  1410,    0  ,  1688, 1.51   ,  1490
169,     547,  1408,    0  ,  1688, 1.48   ,  1490
173,     547,  1409,    0  ,  1688, 1.45   ,  1490
177,     547,  1409,    0  ,  1688, 1.42   ,  1490
181,     547,  1409,    0  ,  1688, 1.40   ,  1490
185,     547,  1409,    0  ,  1688, 1.37   ,  1490
189,     547,  1408,    0  ,  1688, 1.35   ,  1490
193,     547,  1408,    0  ,  1688, 1.33   ,  1490
197,     547,  1408,    0  ,  1688, 1.31   ,  1490
201,     547,  1408,    0  ,  1688, 1.29   ,  1490
205,     547,  1408,    0  ,  1688, 1.27   ,  1490
209,     547,  1408,    0  ,  1688, 1.25   ,  1490
213,     547,  1408,    0  ,  1688, 1.23   ,  1490
217,     547,  1408,    0  ,  1688, 1.21   ,  1490
222,     547,  1408,    0  ,  1688, 1.20   ,  1490
226,     547,  1408,    0  ,  1688, 1.18   ,  1490
230,     547,  1408,    0  ,  1688, 1.16   ,  1490
234,     547,  1408,    0  ,  1688, 1.15   ,  1490
238,     547,  1408,    0  ,  1688, 1.13   ,  1490
242,     540,  1416,    0  ,  1688, 1.11   ,  1498
246,     540,  1416,    0  ,  1688, 1.10   ,  1498
250,     540,  1416,    0  ,  1688, 1.08   ,  1497
254,     540,  1415,    0  ,  1688, 1.07   ,  1497
258,     532,  1423,    0  ,  1688, 1.06   ,  1505
262,     532,  1423,    0  ,  1688, 1.05   ,  1505
266,     533,  1423,    0  ,  1688, 1.04   ,  1504
270,     534,  1421,    0  ,  1688, 1.02   ,  1502
274,     535,  1420,    0  ,  1688, 1.01   ,  1502
278,     535,  1420,    0  ,  1688, 1.00   ,  1502
282,     535,  1420,    0  ,  1688, 0.99   ,  1502
286,     535,  1420,    0  ,  1688, 0.98   ,  1501
290,     536,  1419,    0  ,  1688, 0.97   ,  1501
294,     537,  1419,    0  ,  1688, 0.96   ,  1501
298,     537,  1419,    0  ,  1688, 0.95   ,  1501
302,     537,  1418,    0  ,  1688, 0.94   ,  1500
306,     538,  1417,    0  ,  1688, 0.93   ,  1499
310,     538,  1417,    0  ,  1688, 0.92   ,  1499
314,     538,  1417,    0  ,  1688, 0.91   ,  1499
318,     538,  1417,    0  ,  1688, 0.90   ,  1499
322,     538,  1417,    0  ,  1688, 0.90   ,  1499
326,     538,  1417,    0  ,  1688, 0.89   ,  1499
330,     538,  1417,    0  ,  1688, 0.88   ,  1499
334,     538,  1417,    0  ,  1688, 0.87   ,  1499
339,     538,  1417,    0  ,  1688, 0.87   ,  1499
343,     538,  1417,    0  ,  1688, 0.86   ,  1499
347,     538,  1417,    0  ,  1688, 0.86   ,  1499
351,     538,  1417,    0  ,  1688, 0.85   ,  1499
355,     538,  1417,    0  ,  1688, 0.84   ,  1499
359,     538,  1417,    0  ,  1688, 0.84   ,  1499
363,     538,  1417,    0  ,  1688, 0.83   ,  1499
367,     539,  1417,    0  ,  1688, 0.82   ,  1499
371,     539,  1417,    0  ,  1688, 0.82   ,  1499
375,     539,  1417,    0  ,  1688, 0.81   ,  1499
379,     539,  1416,    0  ,  1688, 0.81   ,  1498
383,     539,  1416,    0  ,  1688, 0.80   ,  1498
